City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
150,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
152,Dicabisagan,PH,87.1,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
155,Santa Fe,AR,75.0,light rain,-31.6333,-60.7,Conquistador Hotel
157,Havelock,US,84.18,clear sky,34.8791,-76.9013,Sherwood Motel
160,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
161,Kloulklubed,PW,83.77,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
163,Tsagan Aman,RU,78.06,clear sky,47.5639,46.7218,Tirupathi
164,Baghdad,IQ,76.91,clear sky,33.3406,44.4009,Baghdad Hotel
173,Sasvad,IN,74.59,overcast clouds,18.3333,74.0333,Adsul Farm
176,Qianguo,CN,89.17,overcast clouds,45.1171,124.8568,Guo'er Luosi Hotel
177,Touros,BR,72.84,clear sky,-5.1989,-35.4608,INN NEW HORIZON
180,Benghazi,LY,78.84,clear sky,32.1167,20.0667,Tibesti Hotel
